STATE: Texas
Frequency,Offset,,Tone Up/Down,Location,County,Call,,Use,,,Modes
29.6400,-0.1 MHz,,110.9 / 110.9,Round Rock, St Davids Surgical Hospital,Williamson,WD5EMS,,OPEN,,,FM,,,,
145.3100,-0.6 MHz,,110.9,Mesquite,Dallas,WJ5J,,OPEN,,,FM,,,,
145.3300,-0.6 MHz,,123.0,Anahuac,Chambers,KK5XQ,,OPEN,,,FM,,,,
145.3300,-0.6 MHz,,100.0 / 100.0,Denison,Grayson,W5DWH,,OPEN,,,FM,,,,
145.3300,-0.6 MHz,,67.0,El Paso,El Paso,K5WPH,,OPEN,,,FM,,,,
145.3300,-0.6 MHz,,110.9 / 110.9,Fort Worth,Tarrant,W5FA,,OPEN,,,FM System Fusion,,,,
145.3300,-0.6 MHz,,136.5 / 136.5,Hideaway, Golf Course,Smith,W5ETX,,OPEN,,,FM,,,,
145.3300,-0.6 MHz,,100.0,Round Rock,Williamson,WD5EMS,,OPEN,,,FM System Fusion,,,,
145.3300,-0.6 MHz,,146.2,San Antonio,Bexar,KC5RXY,,OPEN,,,FM,,,,
145.3300,-0.6 MHz,,103.5,Trinity,Trinity,N5ESP,,OPEN,,,FM,,,,
145.3300,-0.6 MHz,,167.9,WHARTON,Wharton,W5DUQ,,OPEN,,,FM,,,,
145.3400,-0.6 MHz,,88.5,Houston,Harris,W5INP,,OPEN,,,FM,,,,
145.3400,-0.6 MHz,,,Katy,Harris,KF5KHM,,OPEN,,,FM,,,,
145.3500,-0.6 MHz,,110.9,Abilene,Taylor,KC5PPI,,OPEN,,,FM,,,,
145.3500,-0.6 MHz,,123.0,Belton, Belton High School,Bell,KG5PIV,,OPEN,,,System Fusion,,,,
145.3500,-0.6 MHz,,131.8,Chita,Trinity,W5IOU,,OPEN,,,FM,,,,
145.3500,-0.6 MHz,,100.0 / CSQ,Clute,Brazoria,WB5UGT,,OPEN,,,FM,,,,
145.3500,-0.6 MHz,,,Eastland,Eastland,KA5BNO,,OPEN,,,FM,,,,
145.3500,-0.6 MHz,,CC 1 100.0 / 100.0,McKinney,Collin,N5GI,,OPEN,,,FM DMR,,,,
145.3500,-0.6 MHz,,,San Antonio,Bexar,K5VPW,,OPEN,,,DSTAR System Fusion,,,,
145.3500,-0.6 MHz,,114.8 / 114.8,Smithville,Bastrop,K5OQ,,OPEN,,,FM System Fusion,,,,
145.3700,-0.6 MHz,,103.5 / 103.5,Cedar Park,Williamson,KC5WLF,,OPEN,,,FM System Fusion,,,,
145.3700,-0.6 MHz,,88.5,Fort Stockton,Pecos,KB5GLA,,OPEN,,,FM,,,,
145.3700,-0.6 MHz,,123.0,Houston, Houston Transtar,Harris,N5TRS,,OPEN,,,FM,,,,
145.3700,-0.6 MHz,,114.8 / 114.8,Live Oak,Bexar,KE5HBB,,OPEN,,,FM,,,,
145.3700,-0.6 MHz,,100.0,Lufkin,Angelina,KD5TD,,OPEN,,,FM,,,,
145.3700,-0.6 MHz,,110.9,North Richland Hills, Water Tower,Tarrant,K5NRH,,OPEN,,,FM,,,,
145.3700,-0.6 MHz,,136.5 / 136.5,Tyler,Smith,W5WVH,,OPEN,,,FM,,,,
145.3900,-0.6 MHz,,192.8,Bowie,Montague,K1RKH,,OPEN,,,FM,,,,
145.3900,-0.6 MHz,,103.5 / 103.5,Brenham, Brenham National Bank,Washington,W5AUM,,OPEN,,,FM System Fusion,,,,
145.3900,-0.6 MHz,,118.8,Buna,Jasper,W5JAS,,OPEN,,,FM,,,,
145.3900,-0.6 MHz,,103.5 / 123.0,Chocolate Bayou,Brazoria,KA5QDG,,OPEN,,,FM,,,,
145.3900,-0.6 MHz,,123.0 / 123.0,Clear Lake Shores,Galveston,KA5QDG,,OPEN,,,FM,,,,
145.3900,-0.6 MHz,,114.8,Harlingen,Cameron,K5VCG,,OPEN,,,FM,,,,
145.3900,-0.6 MHz,,103.5 / 103.5,Marble Falls, Hidden Falls Adventure Park,Burnet,N5KUQ,,OPEN,,,FM,,,,
145.3900,-0.6 MHz,,146.2,Mexia,Limestone,W5NFL,,OPEN,,,FM,,,,
145.3900,-0.6 MHz,,88.5,Odessa,Ector,WT5ARC,,OPEN,,,FM,,,,
145.3900,-0.6 MHz,,114.8 / 114.8,Paris,Lamar,N5JEP,,OPEN,,,FM,,,,
145.3900,-0.6 MHz,,82.5 / 82.5,San Antonio, Evans and Bulverde Rd,Bexar,N5MRM,,OPEN,,,FM,,,,
145.3900,-0.6 MHz,,100.0 / 100.0,Texarkana, Barkman Creek,Bowie,WX5FL,,OPEN,,,FM,,,,
145.3900,-0.6 MHz,,167.9,Venus,Johnson,WA5FWC,,OPEN,,,FM,,,,
145.4000,-0.6 MHz,,110.9 / 110.9,Grapevine,Tarrant,N5EOC,,OPEN,,,System Fusion,,,,
145.4000,-0.6 MHz,,114.8 / 114.8,Rosanky,Bastrop,N5FRT,,OPEN,,,FM,,,,
145.4100,-0.6 MHz,,151.4 / 151.4,Atlanta / Springdale,Cass,N5YU,,OPEN,,,FM,,,,
145.4100,-0.6 MHz,,100.0,Bellville,Austin,W5SFA,,OPEN,,,FM,,,,
145.4100,-0.6 MHz,,88.5,El Paso,El Paso,WX5ELP,,OPEN,,,FM,,,,
145.4100,-0.6 MHz,,131.8,Ennis,Ellis,WD5DDH,,OPEN,,,FM,,,,
145.4100,-0.6 MHz,,103.5 / 103.5,Lakeway,Travis,WB5PCV,,OPEN,,,FM,,,,
145.4100,-0.6 MHz,,131.8,League City,Galveston,WR5GC,,OPEN,,,FM,,,,
145.4100,-0.6 MHz,,CC0 114.8,Leonard,Fannin,KW5DX,,OPEN,,,FM DMR,,,,
145.4100,-0.6 MHz,,110.9 / 110.9,Midlothian,Ellis,WD5DDH,,OPEN,,,FM,,,,
145.4100,-0.6 MHz,,88.5,Odessa,Ector,W5CDM,,OPEN,,,FM,,,,
145.4100,-0.6 MHz,,162.2,Waxahachie,Ellis,WD5DDH,,OPEN,,,FM,,,,
145.4200,-0.6 MHz,,123.0 / 123.0,Boerne,Kendall,AB5UE,,OPEN,,,FM,,,,
145.4300,-0.6 MHz,,NAC 293 114.8 / 114.8,Dale, Flag Hill,Caldwell,KE5AMB,,OPEN,,,FM P-25,,,,
145.4300,-0.6 MHz,,162.2,Granbury,Hood,KE5WEA,,OPEN,,,FM,,,,
145.4300,-0.6 MHz,,136.5,Jacksonville,Cherokee,KR5Q,,OPEN,,,FM,,,,
145.4300,-0.6 MHz,,CSQ,Kingwood,Harris,W5SI,,OPEN,,,FM System Fusion,,,,
145.4300,-0.6 MHz,,,Lubbock,Lubbock,K5LIB,,OPEN,,,DSTAR,,,,
145.4300,-0.6 MHz,,CC1 88.5,Marble Falls,Burnet,N5JFP,,OPEN,,,FM DMR DSTAR NXDN P-25 System Fusion,,,,
145.4300,-0.6 MHz,,162.2,Pleasanton,Atascosa,KD5ZR,,OPEN,,,FM,,,,
145.4300,-0.6 MHz,,110.9 / 110.9,Richardson, UTD Campus,Dallas,K5UTD,,OPEN,,,FM,,,,
145.4500,-0.6 MHz,,CC 1 100.0 / 100.0,Beaumont,Jefferson,N5YX,,OPEN,,,FM DMR System Fusion,,,,
145.4500,-0.6 MHz,,114.8,Centerville,Leon,K3WIV,,OPEN,,,FM,,,,
145.4500,-0.6 MHz,,103.5,Houston,Harris,KD5HKQ,,OPEN,,,FM,,,,
145.4500,-0.6 MHz,,110.9 / 110.9,Irving,Dallas,N2DFW,,CLOSED,,,FM,,,,
145.4500,-0.6 MHz,,136.5 / 136.5,Kilgore,Rusk,WX5FL,,OPEN,,,FM,,,,
145.4500,-0.6 MHz,,127.3 / 127.3,Pasadena,Harris,KD5HKQ,,OPEN,,,,,,,
145.4500,-0.6 MHz,,141.3,San Antonio,Bexar,N5UAP,,OPEN,,,FM,,,,,
145.4500,-0.6 MHz,,88.5,Seminole,Gaines,N5SOR,,OPEN,,,FM,,,,,
145.4500,-0.6 MHz,,162.2,Taylor,Williamson,N5TT,,OPEN,,,FM,,,,,
145.4500,-0.6 MHz,,100.0 / 100.0,Texarkana, Christus St Michael Health Center,Bowie,KD5RCA,,OPEN,,,FM,,,,,
145.4700,-0.6 MHz,,136.5 / 136.5,Avinger, Lake-O-The Pines / Water Plant Twr,Cass,WX5FL,,OPEN,,,FM,,,,,
145.4700,-0.6 MHz,,110.9 / 110.9,Chalk Mountain,Somervell,K5AB,,OPEN,,,FM,,,,,
145.4700,-0.6 MHz,,162.2 / 162.2,Fredericksburg, N.E Gillespie County,Gillespie,W5FBG,,OPEN,,,FM,,,,,
145.4700,-0.6 MHz,,123.0,Houston, Memorial Hermann SW Hospital,Harris,W5RPT,,OPEN,,,FM,,,,,
145.4700,-0.6 MHz,,100.0 / 100.0,Ivanhoe,Fannin,K5FRC,,OPEN,,,FM System Fusion,,,,,
145.4700,-0.6 MHz,,103.5 / 103.5,Port Arthur,Jefferson,W5SSV,,OPEN,,,FM,,,,,
145.4700,-0.6 MHz,,110.9,Rice,Navarro,W5TSM,,OPEN,,,FM,,,,,
145.4700,-0.6 MHz,,110.9 / 110.9,San Antonio,Bexar,KD5GSS,,OPEN,,,FM,,,,,
145.4700,-0.6 MHz,,114.8 / 114.8,Taylor,Williamson,N3ERC,,OPEN,,,FM,,,,,
145.4900,-0.6 MHz,,88.5,Abilene,Taylor,KI5ZS,,OPEN,,,FM,,,,,
145.4900,-0.6 MHz,,88.5,Cleburne,Johnson,KB5YBI,,OPEN,,,FM,,,,,
145.4900,-0.6 MHz,,192.8,Iowa Park,Wichita,N5JRF,,OPEN,,,FM,,,,,
